time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1981-06-30T23:10:12.480Z,16.716,-86.251,10,4.7,mb,,,,0.9,pde,pde19810630231012480_10,2013-03-16T00:01:11.220Z,"offshore Honduras",earthquake
1981-06-30T23:05:32.270Z,41.448,19.529,10,4.4,mb,,,,0.9,pde,pde19810630230532270_10,2013-03-16T00:01:11.212Z,"Albania",earthquake
1981-06-30T21:55:47.100Z,22.489,95.125,21.6,5,mb,,,,0.8,pde,pde19810630215547100_21,2013-03-16T00:01:11.197Z,"Myanmar",earthquake
1981-06-30T19:20:54.520Z,1.366,-30.607,10,5,mb,,,,1,pde,pde19810630192054520_10,2013-03-16T00:01:11.195Z,"central Mid-Atlantic Ridge",earthquake
1981-06-30T17:40:17.490Z,1.481,125.903,96.3,5.3,mb,,,,1,pde,pde19810630174017490_96,2013-03-16T00:01:11.191Z,"Molucca Sea",earthquake
1981-06-30T15:09:26.210Z,37.877,20.107,33,4.6,mb,,,,0.9,pde,pde19810630150926210_33,2013-03-16T00:01:11.177Z,"Ionian Sea",earthquake
1981-06-30T14:46:48.030Z,40.895,61.626,33,4.4,mb,,,,0.8,pde,pde19810630144648030_33,2013-03-16T00:01:11.174Z,"Turkmenistan",earthquake
1981-06-30T11:48:26.770Z,-23.115,-114.211,10,5.2,mb,,,,0.7,pde,pde19810630114826770_10,2013-03-16T00:01:11.168Z,"Easter Island region",earthquake
1981-06-30T10:21:28.870Z,-3.248,146.602,77.4,4.5,mb,,,,1.3,pde,pde19810630102128870_77,2013-03-16T00:01:11.165Z,"Bismarck Sea",earthquake
1981-06-30T08:32:53.000Z,37.6,-118.883,8,3.1,ml,,,,,pde,pde19810630083253000_8,2013-03-16T00:01:11.163Z,"Long Valley area, California",earthquake
1981-06-30T08:31:51.000Z,37.563,-118.895,5,3.6,ml,,,,,pde,pde19810630083151000_5,2013-03-16T00:01:11.159Z,"Central California",earthquake
1981-06-30T07:59:04.570Z,36.127,35.939,33,4.4,mb,,,,0.9,pde,pde19810630075904570_33,2013-03-16T00:01:11.148Z,"central Turkey",earthquake
1981-06-30T04:30:05.770Z,-13.294,-74.637,17.4,4.6,mb,,,,0.8,pde,pde19810630043005770_17,2013-03-16T00:01:11.143Z,"central Peru",earthquake
1981-06-30T03:18:02.240Z,27.058,55.241,33,4.7,mb,,,,0.7,pde,pde19810630031802240_33,2013-03-16T00:01:11.137Z,"southern Iran",earthquake
1981-06-30T02:44:00.130Z,37.15,3.12,33,4,mb,,,,1.2,pde,pde19810630024400130_33,2013-03-16T00:01:11.133Z,"western Mediterranean Sea",earthquake
1981-06-30T02:41:55.160Z,39.512,20.675,22.2,4,mb,,,,1,pde,pde19810630024155160_22,2013-03-16T00:01:11.128Z,"Greece-Albania border region",earthquake
1981-06-30T02:30:51.400Z,37.667,-118.9,6,3,ml,,,,,pde,pde19810630023051400_6,2013-03-16T00:01:11.126Z,"Long Valley area, California",earthquake
