time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1953-08-13T09:23:27.000Z,-21.5,170.2,128,6.6,ms,0,,,,centennial,centennial19530813092327,2013-07-09T19:07:25.000Z,"southeast of the Loyalty Islands",earthquake
1953-08-12T09:23:55.000Z,38.137,20.76,20,7.2,mw,0,,,,centennial,centennial19530812092355,2013-07-09T19:07:25.000Z,"Greece",earthquake
1953-08-11T03:32:22.000Z,38.3,20.8,0,6.6,ms,0,,,,centennial,centennial19530811033222,2013-07-09T19:07:25.000Z,"Greece",earthquake
