time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1991-01-31T23:51:10.160Z,36.382,71.171,206.6,4.6,mb,,,,0.8,pde,pde19910131235110160_206,2013-03-16T00:28:50.209Z,"Hindu Kush region, Afghanistan",earthquake
1991-01-31T23:28:17.900Z,34.82,-120.38,1,3.5,ml,,,,,pde,pde19910131232817900_1,2013-03-16T00:28:50.207Z,"Central California",earthquake
1991-01-31T23:03:34.000Z,35.947,70.442,142.4,6.9,ms,574,,,,centennial,centennial19910131230334,2014-03-18T03:08:07.190Z,"Hindu Kush region, Afghanistan",earthquake
1991-01-31T22:43:34.450Z,44.812,-28.051,10,4.5,mb,,,,1.3,pde,pde19910131224334450_10,2013-03-16T00:28:50.089Z,"northern Mid-Atlantic Ridge",earthquake
1991-01-31T22:15:26.600Z,38.603,14.264,10,,,,,,1.5,pde,pde19910131221526600_10,2013-03-16T00:28:50.088Z,"Sicily, Italy",earthquake
1991-01-31T21:58:45.700Z,33.567,-116.9,6,2.7,ml,,,,,pde,pde19910131215845700_6,2013-03-16T00:28:50.087Z,"Southern California",earthquake
1991-01-31T21:33:15.100Z,38.442,14.375,10,,,,,,0.9,pde,pde19910131213315100_10,2013-03-16T00:28:50.086Z,"Sicily, Italy",earthquake
1991-01-31T21:30:05.900Z,5.717,124.229,33,4.7,mb,,,,0.5,pde,pde19910131213005900_33,2013-03-16T00:28:50.085Z,"Mindanao, Philippines",earthquake
1991-01-31T21:08:43.590Z,-38.762,175.106,162.6,,,,,,0.4,pde,pde19910131210843590_162,2013-03-16T00:28:50.083Z,"North Island of New Zealand",earthquake
1991-01-31T19:46:58.810Z,24.864,126.969,33,4.7,mb,,,,1.1,pde,pde19910131194658810_33,2013-03-16T00:28:50.076Z,"Ryukyu Islands, Japan",earthquake
1991-01-31T19:32:46.620Z,-23.63,-179.8,533.9,5.1,mb,,,,1,pde,pde19910131193246620_533,2013-03-16T00:28:50.069Z,"south of the Fiji Islands",earthquake
1991-01-31T15:17:01.590Z,45.95,14.4,10,2.3,md,,,,0.8,pde,pde19910131151701590_10,2013-03-16T00:28:50.067Z,"Slovenia",earthquake
1991-01-31T14:53:08.960Z,7.77,-84.609,33,5,mb,,,,1.4,pde,pde19910131145308960_33,2013-03-16T00:28:50.065Z,"off the coast of Costa Rica",earthquake
1991-01-31T13:52:50.660Z,3.043,128.319,72.9,4.8,mb,,,,0.9,pde,pde19910131135250660_72,2013-03-16T00:28:50.061Z,"north of Halmahera, Indonesia",earthquake
1991-01-31T13:29:12.350Z,45.68,26.635,132.5,4.8,mb,,,,1.2,pde,pde19910131132912350_132,2013-03-16T00:28:50.042Z,"Romania",earthquake
1991-01-31T13:09:19.520Z,2.98,128.276,66.4,4.7,mb,,,,0.9,pde,pde19910131130919520_66,2013-03-16T00:28:50.038Z,"Halmahera, Indonesia",earthquake
