time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1982-09-30T23:39:33.960Z,61.634,-150.816,85.7,,,,,,0.5,pde,pde19820930233933960_85,2013-03-16T00:03:55.248Z,"Southern Alaska",earthquake
1982-09-30T22:58:20.050Z,3.043,125.077,246.4,4.2,mb,,,,0.8,pde,pde19820930225820050_246,2013-03-16T00:03:55.246Z,"Kepulauan Sangihe, Indonesia",earthquake
1982-09-30T22:38:10.600Z,35.75,-117.75,8,4.4,mb,,,,,pde,pde19820930223810600_8,2013-03-16T00:03:55.243Z,"Southern California",earthquake
1982-09-30T22:11:07.010Z,-20.093,-178.302,410,4.6,mb,,,,1.5,pde,pde19820930221107010_410,2013-03-16T00:03:55.240Z,"Fiji region",earthquake
1982-09-30T18:52:33.280Z,57.92,-156.839,33,3.2,ml,,,,0.9,pde,pde19820930185233280_33,2013-03-16T00:03:55.238Z,"Alaska Peninsula",earthquake
1982-09-30T18:00:01.380Z,-5.557,153.056,33,4.1,mb,,,,1.2,pde,pde19820930180001380_33,2013-03-16T00:03:55.237Z,"New Ireland region, Papua New Guinea",earthquake
1982-09-30T17:49:19.490Z,-31.511,-69.269,126.3,,,,,,0.7,pde,pde19820930174919490_126,2013-03-16T00:03:55.234Z,"San Juan, Argentina",earthquake
1982-09-30T16:10:38.720Z,-15.026,-173.666,33,4.5,mb,,,,0.9,pde,pde19820930161038720_33,2013-03-16T00:03:55.178Z,"Tonga",earthquake
1982-09-30T15:51:44.340Z,36.268,141.852,33,4.2,mb,,,,1,pde,pde19820930155144340_33,2013-03-16T00:03:55.177Z,"near the east coast of Honshu, Japan",earthquake
1982-09-30T15:36:59.450Z,36.961,23.454,81.6,4.4,mb,,,,1.1,pde,pde19820930153659450_81,2013-03-16T00:03:55.173Z,"southern Greece",earthquake
1982-09-30T15:18:27.310Z,37.263,72.886,33,4.7,mb,,,,1,pde,pde19820930151827310_33,2013-03-16T00:03:55.171Z,"Tajikistan",earthquake
1982-09-30T15:01:35.330Z,-32.311,-71.034,33,,,,,,0.9,pde,pde19820930150135330_33,2013-03-16T00:03:55.169Z,"Valparaiso, Chile",earthquake
1982-09-30T14:23:56.000Z,-15.17,-173.076,10,5.5,ms,100,,,,centennial,centennial19820930142356,2013-07-09T19:07:55.000Z,"Tonga",earthquake
1982-09-30T13:35:05.150Z,18.755,-64.356,56,5.1,mb,,,,1,pde,pde19820930133505150_56,2013-03-16T00:03:55.137Z,"Virgin Islands region",earthquake
1982-09-30T13:25:09.670Z,-32.193,-70.822,101.7,,,,,,0.3,pde,pde19820930132509670_101,2013-03-16T00:03:55.135Z,"Valparaiso, Chile",earthquake
1982-09-30T13:20:37.170Z,-20.22,-173.659,33,5.1,mb,,,,1.5,pde,pde19820930132037170_33,2013-03-16T00:03:55.131Z,"Tonga",earthquake
1982-09-30T13:18:13.450Z,-32.05,-71.784,58.9,4.3,mb,,,,1,pde,pde19820930131813450_58,2013-03-16T00:03:55.128Z,"offshore Coquimbo, Chile",earthquake
1982-09-30T12:13:27.640Z,5.908,122.832,33,4.3,mb,,,,1,pde,pde19820930121327640_33,2013-03-16T00:03:55.126Z,"Celebes Sea",earthquake
1982-09-30T11:23:29.820Z,42.667,5.254,13.2,3.5,ml,,,,0.6,pde,pde19820930112329820_13,2013-03-16T00:03:55.123Z,"western Mediterranean Sea",earthquake
1982-09-30T11:16:36.790Z,46.462,7.014,10,3.5,ml,,,,1.2,pde,pde19820930111636790_10,2013-03-16T00:03:55.121Z,"Switzerland",earthquake
1982-09-30T09:48:05.190Z,65.751,-145.064,15,4.3,ml,,,,0.6,pde,pde19820930094805190_15,2013-03-16T00:03:55.118Z,"northern Alaska",earthquake
1982-09-30T09:45:33.410Z,-55.057,-118.613,10,5.3,ms,,,,1.2,pde,pde19820930094533410_10,2013-03-16T00:03:55.076Z,"southern East Pacific Rise",earthquake
1982-09-30T09:16:35.920Z,-32.335,-71.988,33,,,,,,1.3,pde,pde19820930091635920_33,2013-03-16T00:03:55.074Z,"offshore Valparaiso, Chile",earthquake
1982-09-30T08:52:12.900Z,-9.522,107.448,33,4.3,mb,,,,1.4,pde,pde19820930085212900_33,2013-03-16T00:03:55.041Z,"south of Java, Indonesia",earthquake
1982-09-30T08:47:24.150Z,-28.517,-71.893,33,,,,,,1.4,pde,pde19820930084724150_33,2013-03-16T00:03:55.038Z,"offshore Atacama, Chile",earthquake
1982-09-30T08:01:42.440Z,0.659,120.777,100.3,4.6,mb,,,,1.3,pde,pde19820930080142440_100,2013-03-16T00:03:55.035Z,"Minahasa, Sulawesi, Indonesia",earthquake
1982-09-30T06:08:22.150Z,17.348,-101.327,33,4.7,mb,,,,1.3,pde,pde19820930060822150_33,2013-03-16T00:03:55.026Z,"offshore Guerrero, Mexico",earthquake
1982-09-30T05:44:49.040Z,38.002,73.953,185,4.8,mb,,,,0.8,pde,pde19820930054449040_185,2013-03-16T00:03:54.979Z,"Tajikistan",earthquake
1982-09-30T05:43:12.040Z,-32.235,-72.54,33,,,,,,1.3,pde,pde19820930054312040_33,2013-03-16T00:03:54.975Z,"offshore Valparaiso, Chile",earthquake
1982-09-30T05:27:26.610Z,-32.384,-72.497,33,,,,,,0.1,pde,pde19820930052726610_33,2013-03-16T00:03:54.958Z,"offshore Valparaiso, Chile",earthquake
1982-09-30T05:07:00.560Z,-32.219,-72.105,33,,,,,,1.2,pde,pde19820930050700560_33,2013-03-16T00:03:54.956Z,"offshore Valparaiso, Chile",earthquake
1982-09-30T04:39:52.370Z,40.07,24.547,9.1,3.7,ml,,,,1,pde,pde19820930043952370_9,2013-03-16T00:03:54.952Z,"Aegean Sea",earthquake
1982-09-30T04:39:34.010Z,-0.994,126.864,52.8,5,mb,,,,1.3,pde,pde19820930043934010_52,2013-03-16T00:03:54.947Z,"Molucca Sea",earthquake
